Time	Open	High	Low	Close	Volume
2017-08-14 16:00:00	142.043	142.285	142.039	142.182	46462	11
2017-08-14 20:00:00	142.184	142.548	142.053	142.529	29354	11
2017-08-15 00:00:00	142.535	142.924	142.522	142.863	41831	15
2017-08-15 04:00:00	142.864	143.191	142.678	142.689	50678	13
2017-08-15 08:00:00	142.689	143.051	142.068	142.104	48498	10
2017-08-15 12:00:00	142.108	142.5	141.975	142.01	61697	12
2017-08-15 16:00:00	142.011	142.29	141.974	142.204	40650	11
2017-08-15 20:00:00	142.205	142.472	142.177	142.303	29054	13
2017-08-16 00:00:00	142.302	142.483	142.269	142.403	23919	12
2017-08-16 04:00:00	142.402	142.804	142.249	142.421	28813	13
2017-08-16 08:00:00	142.419	143.096	142.376	142.579	37643	11
2017-08-16 12:00:00	142.578	142.66	142.295	142.467	44642	11
2017-08-16 16:00:00	142.467	142.499	141.722	141.996	51254	11
2017-08-16 20:00:00	141.997	142.062	141.764	141.783	31253	12
2017-08-17 00:00:00	141.783	141.866	141.505	141.811	32922	16
2017-08-17 04:00:00	141.813	141.839	141.554	141.685	29323	15
2017-08-17 08:00:00	141.684	142.035	141.546	141.734	43423	13
2017-08-17 12:00:00	141.737	142.028	141.341	141.605	63077	13
2017-08-17 16:00:00	141.605	141.65	140.889	140.92	46139	13
2017-08-17 20:00:00	140.918	141.013	140.621	140.65	29180	13
2017-08-18 00:00:00	140.649	141.07	140.608	140.95	25219	16
2017-08-18 04:00:00	140.952	141.094	140.484	140.628	28306	13
2017-08-18 08:00:00	140.625	140.854	140.313	140.459	40292	13
2017-08-18 12:00:00	140.458	140.547	139.788	140.417	72651	14
2017-08-18 16:00:00	140.417	140.941	140.381	140.539	52807	14
2017-08-18 20:00:00	140.544	140.717	140.513	140.55	6452	16
2017-08-20 20:00:00	140.578	140.844	140.501	140.72	12765	84
2017-08-21 00:00:00	140.716	140.809	140.552	140.696	25657	18
2017-08-21 04:00:00	140.695	140.708	140.105	140.205	30887	13
2017-08-21 08:00:00	140.206	140.712	140.117	140.426	32131	10
2017-08-21 12:00:00	140.426	140.513	140.196	140.485	49966	10
2017-08-21 16:00:00	140.484	140.637	140.221	140.432	33294	13
2017-08-21 20:00:00	140.433	140.66	140.379	140.578	19325	14
2017-08-22 00:00:00	140.58	141.035	140.579	140.787	24837	18
2017-08-22 04:00:00	140.789	140.901	140.405	140.601	27712	16
2017-08-22 08:00:00	140.598	140.627	140.068	140.285	34064	13
2017-08-22 12:00:00	140.287	140.476	140.06	140.394	44697	12
2017-08-22 16:00:00	140.394	140.559	140.311	140.477	25192	14
2017-08-22 20:00:00	140.48	140.747	140.442	140.7	16339	15
2017-08-23 00:00:00	140.694	140.791	140.237	140.316	26805	13
2017-08-23 04:00:00	140.316	140.537	140.106	140.193	32415	10
2017-08-23 08:00:00	140.191	140.276	139.781	139.817	39073	14
2017-08-23 12:00:00	139.815	139.827	139.476	139.54	55188	13
2017-08-23 16:00:00	139.544	139.779	139.435	139.504	35607	10
2017-08-23 20:00:00	139.503	139.57	139.312	139.422	24460	16
2017-08-24 00:00:00	139.423	139.675	139.414	139.627	27426	18
2017-08-24 04:00:00	139.628	140.011	139.403	139.831	30883	18
2017-08-24 08:00:00	139.831	140.292	139.785	140.234	34369	13
2017-08-24 12:00:00	140.234	140.443	139.818	139.953	48974	12
2017-08-24 16:00:00	139.957	140.28	139.82	140.273	30257	13
2017-08-24 20:00:00	140.27	140.325	140.129	140.171	32744	15
2017-08-25 00:00:00	140.176	140.591	140.142	140.332	24802	18
2017-08-25 04:00:00	140.332	140.49	140.214	140.442	25454	17
2017-08-25 08:00:00	140.442	140.826	140.418	140.701	32641	13
2017-08-25 12:00:00	140.699	140.847	140.405	140.632	57767	10
2017-08-25 16:00:00	140.633	140.811	140.597	140.699	36805	14
2017-08-25 20:00:00	140.699	140.859	140.616	140.819	7682	20
2017-08-27 20:00:00	141.083	141.14	140.96	141.08	17355	119
2017-08-28 00:00:00	141.076	141.185	140.586	140.621	29098	16
2017-08-28 04:00:00	140.623	140.799	140.436	140.741	29472	15
2017-08-28 08:00:00	140.742	141.181	140.742	141.094	33103	14
2017-08-28 12:00:00	141.094	141.306	141.025	141.179	43294	14
2017-08-28 16:00:00	141.178	141.303	141.074	141.257	33289	13
2017-08-28 20:00:00	141.255	141.414	140.003	140.541	40553	15
2017-08-29 00:00:00	140.543	140.845	140.431	140.819	39460	19
2017-08-29 04:00:00	140.82	141.086	140.612	140.687	38813	15
2017-08-29 08:00:00	140.683	140.898	140.411	140.639	47722	12
2017-08-29 12:00:00	140.64	141.136	140.407	141.035	62013	12
2017-08-29 16:00:00	141.033	141.998	140.997	141.813	43180	14
2017-08-29 20:00:00	141.822	141.908	141.56	141.843	23240	15
2017-08-30 00:00:00	141.848	142.033	141.811	141.932	29671	17
2017-08-30 04:00:00	141.933	142.236	141.843	142.193	41287	18
2017-08-30 08:00:00	142.193	142.305	141.805	142.241	35492	12
2017-08-30 12:00:00	142.248	142.535	142.128	142.523	55275	13
2017-08-30 16:00:00	142.523	142.773	142.45	142.528	36083	13
2017-08-30 20:00:00	142.531	142.754	142.359	142.72	23643	6
2017-08-31 00:00:00	142.716	142.79	142.577	142.729	31593	14
2017-08-31 04:00:00	142.732	142.901	142.493	142.56	34873	15
2017-08-31 08:00:00	142.559	142.634	142.117	142.143	39860	14
2017-08-31 12:00:00	142.143	142.349	141.547	141.837	54952	14
2017-08-31 16:00:00	141.837	142.314	141.814	142.159	36638	14
2017-08-31 20:00:00	142.167	142.504	141.987	142.497	21768	14
2017-09-01 00:00:00	142.497	142.568	142.292	142.304	20628	15
2017-09-01 04:00:00	142.304	142.343	142.146	142.28	26742	14
2017-09-01 08:00:00	142.278	142.68	142.102	142.562	36799	14
2017-09-01 12:00:00	142.564	142.99	142.278	142.804	68554	10
2017-09-01 16:00:00	142.806	142.894	142.708	142.838	33710	13
2017-09-01 20:00:00	142.834	142.915	142.772	142.772	8690	17
2017-09-03 20:00:00	141.933	142.414	141.857	142.348	14174	111
